idOrder,scheduleDate,deliveryDate,diffDays,diffHours,provider,shippingDateSelectedByUser
1947791,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947792,2021-08-02 09:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
1947795,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947808,2021-08-02 09:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947811,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947821,2021-08-02 09:08:00,2021-08-05 02:08:00,2,65,800149695,2021-08-04
1947822,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947842,2021-08-02 09:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
1947861,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947862,2021-08-02 09:08:00,2021-08-05 02:08:00,2,64,800149695,2021-08-04
1947873,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947878,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947891,2021-08-02 09:08:00,2021-08-05 02:08:00,2,64,800149695,2021-08-04
1947911,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947918,2021-08-02 09:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
1947921,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947925,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947942,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947943,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947945,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947948,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947951,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947956,2021-08-02 09:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
1947961,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947967,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947986,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947990,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1948005,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1948008,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1948009,2021-08-02 09:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1948012,2021-08-02 09:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
